Keyword,TodayCount,YesterdayCount,Difference,ChangeType
무려,0.0,2,-2.0,DISAPPEARED
무성,0.0,1,-1.0,DISAPPEARED
무슨,0.0,1,-1.0,DISAPPEARED
무제한,0.0,1,-1.0,DISAPPEARED
문화,0.0,1,-1.0,DISAPPEARED
물어,0.0,1,-1.0,DISAPPEARED
뮤직,0.0,1,-1.0,DISAPPEARED
뮤직뱅크,0.0,1,-1.0,DISAPPEARED
미국,0.0,3,-3.0,DISAPPEARED
미국인,0.0,1,-1.0,DISAPPEARED
미만,0.0,1,-1.0,DISAPPEARED
미스터,0.0,2,-2.0,DISAPPEARED
미스터리,0.0,1,-1.0,DISAPPEARED
미키,0.0,1,-1.0,DISAPPEARED
믹스,0.0,5,-5.0,DISAPPEARED
민호,0.0,1,-1.0,DISAPPEARED
바둑,0.0,1,-1.0,DISAPPEARED
바로,0.0,1,-1.0,DISAPPEARED
바리스타,0.0,2,-2.0,DISAPPEARED
박나래,0.0,1,-1.0,DISAPPEARED
박보검,0.0,3,-3.0,DISAPPEARED
박서진,0.0,1,-1.0,DISAPPEARED
박수홍,0.0,1,-1.0,DISAPPEARED
박태진,0.0,1,-1.0,DISAPPEARED
박형식,0.0,1,-1.0,DISAPPEARED
반응,0.0,1,-1.0,DISAPPEARED
발달,0.0,1,-1.0,DISAPPEARED
발언,0.0,1,-1.0,DISAPPEARED
발휘,0.0,1,-1.0,DISAPPEARED
방과후,0.0,1,-1.0,DISAPPEARED
방법,0.0,3,-3.0,DISAPPEARED
방치,0.0,1,-1.0,DISAPPEARED
배꼽,0.0,1,-1.0,DISAPPEARED
배소현,0.0,1,-1.0,DISAPPEARED
배우,0.0,2,-2.0,DISAPPEARED
백설공주,0.0,1,-1.0,DISAPPEARED
백화점,0.0,1,-1.0,DISAPPEARED
뱃살,0.0,2,-2.0,DISAPPEARED
버전,0.0,1,-1.0,DISAPPEARED
버터,0.0,1,-1.0,DISAPPEARED
번호,0.0,1,-1.0,DISAPPEARED
베이스,0.0,1,-1.0,DISAPPEARED
베텔기우스,0.0,1,-1.0,DISAPPEARED
베트남,0.0,1,-1.0,DISAPPEARED
별명,0.0,1,-1.0,DISAPPEARED
보따리,0.0,1,-1.0,DISAPPEARED
보라,0.0,1,-1.0,DISAPPEARED
보이,0.0,2,-2.0,DISAPPEARED
보이스,0.0,1,-1.0,DISAPPEARED
보장,0.0,1,-1.0,DISAPPEARED
보호,0.0,1,-1.0,DISAPPEARED
복어,0.0,2,-2.0,DISAPPEARED
봉준호,0.0,1,-1.0,DISAPPEARED
부모,0.0,1,-1.0,DISAPPEARED
부순,0.0,1,-1.0,DISAPPEARED
부채,0.0,1,-1.0,DISAPPEARED
부초,0.0,1,-1.0,DISAPPEARED
부탁,0.0,2,-2.0,DISAPPEARED
북미,0.0,1,-1.0,DISAPPEARED
불고기,0.0,1,-1.0,DISAPPEARED
브로콜리,0.0,1,-1.0,DISAPPEARED
브이,0.0,10,-10.0,DISAPPEARED
비디오,0.0,1,-1.0,DISAPPEARED
비명,0.0,1,-1.0,DISAPPEARED
비밀,0.0,1,-1.0,DISAPPEARED
비법,0.0,1,-1.0,DISAPPEARED
비하인드,0.0,2,-2.0,DISAPPEARED
비행기,0.0,1,-1.0,DISAPPEARED
빡세,0.0,2,-2.0,DISAPPEARED
사기,0.0,1,-1.0,DISAPPEARED
사람인,0.0,1,-1.0,DISAPPEARED
사랑,0.0,3,-3.0,DISAPPEARED
사상,0.0,1,-1.0,DISAPPEARED
사우나,0.0,1,-1.0,DISAPPEARED
사위,0.0,1,-1.0,DISAPPEARED
사이,0.0,1,-1.0,DISAPPEARED
사전,0.0,1,-1.0,DISAPPEARED
사제,0.0,1,-1.0,DISAPPEARED
삭발,0.0,1,-1.0,DISAPPEARED
산골,0.0,1,-1.0,DISAPPEARED
살이,0.0,1,-1.0,DISAPPEARED
삼겹살,0.0,1,-1.0,DISAPPEARED
삼성,0.0,1,-1.0,DISAPPEARED
삼양라면,0.0,1,-1.0,DISAPPEARED
상담,0.0,1,-1.0,DISAPPEARED
새벽,0.0,1,-1.0,DISAPPEARED
새우,0.0,1,-1.0,DISAPPEARED
색깔,0.0,2,-2.0,DISAPPEARED
