video_id,title,channel,category,published_at,views,likes,comments,fetched_at
lPuJ1KDfaAA,남미새 특,총몇명,Film & Animation,2025-03-12T09:00:58Z,1469912,22913,708,2025-03-19 15:09:37.602367
Ss0cCBPldgw,✨실력 발휘✨ 협상의 神이 가전 쇼핑하러 가면 생기는 일?? 🐶zzㅓ는 말빨로 초특가 할인받아내는 이제훈ㅋ｜협상의 기술 | JTBC 250315 방송,DRAMA Voyage,Entertainment,2025-03-15T15:07:59Z,455845,2126,133,2025-03-19 15:09:37.602367
vFj7HeAYm2g,[Cover] WOODZ - Pretender (Official髭男dism),WOODZ,Music,2025-03-12T08:30:22Z,328066,20190,1398,2025-03-19 15:09:37.602367
9Bl3RvJpya4,[IU TV] 얼굴만 봐도 즐거운 관식이네 회사 탐방 vlog (feat. 가요무대),이지금 [IU Official],Entertainment,2025-03-12T09:00:18Z,964829,35719,1591,2025-03-19 15:09:37.602367
6AdGVDody9A,💥멘붕💥 ＂이커머스를 할 생각입니다＂남은 빚 2조 5천억 조달 방법으로 제안한 이제훈의 두 번째 폭탄 발언💥｜협상의 기술｜JTBC 250315 방송,DRAMA Voyage,Entertainment,2025-03-15T15:09:00Z,356633,1998,106,2025-03-19 15:09:37.602367
7nGdpHQ0Uc8,아이유(애순) + 박보검(관식)🌼산골 소년의 사랑 이야기(가수: 예민) [가요무대/Music Stage] | KBS 250310 방송,KBS 레전드 케이팝,Music,2025-03-10T13:21:50Z,1582118,43035,3926,2025-03-19 15:09:37.602367
wLvEKGdMdnE,"남편이 연속 5끼 먹은 김치찜 레시피ㅣ초간단 들기름 김치찜, 국물 활용 레시피까지, 냉장고 속 김치 다 꺼내세요✨",차예련 chayeryun,People & Blogs,2025-03-12T09:01:12Z,861047,9304,481,2025-03-19 15:09:37.602367
sxfbEUxy5PA,[SUB] 남자병 완치를 원하는 자 재친구로 오라 | 재친구 S4 E2 l 제로베이스원 김재중,재친구(Jae friends) | ST7,Entertainment,2025-03-13T09:01:08Z,348824,25021,1818,2025-03-19 15:09:37.602367
QnWmdNMKulc,"한혜진 뱃살 찌다? 란제리 화보 D-7 탑모델의 뱃살 타파 일지 ㅣ 다이어트, 운동, 급찐급빠, 대창 먹방",한혜진 Han Hye Jin,Entertainment,2025-03-13T10:02:40Z,373271,6557,334,2025-03-19 15:09:37.602367
q0V0fIkPKQQ,슈퍼주니어 김희철의 하루,인생84,People & Blogs,2025-03-11T09:01:05Z,1109982,17312,1483,2025-03-19 15:09:37.602367
JTyQHLD8UHs,처음 보는 승무원이랑 같이 밥 먹은 썰,에어부산,Travel & Events,2025-03-12T08:30:08Z,936410,10680,2583,2025-03-19 15:09:37.602367
seARsMwjbEU,JENNIE & Dua Lipa - Handlebars (Official Video),JennieRubyJaneVEVO,Music,2025-03-10T15:00:07Z,12433541,927715,42543,2025-03-19 15:09:37.602367
5PmKKCre-ls,할머니👵에게 전하는 용빈이의 메시지💌 ‘감사’♪ TV CHOSUN 250313 방송 | [미스터트롯3 – 12회] | TV조선,TVCHOSUN - TV조선,Entertainment,2025-03-13T14:11:32Z,686404,17769,5110,2025-03-19 15:09:37.602367
