video_id,title,channel,category,published_at,views,likes,comments,fetched_at
BNGUXP7jOHQ,강나미 채널 조회수 지분 100프로 💫 베텔기우스 원곡자 유우리에게 감사 인사했습니다,동네친구 강나미 [Kangnami],Entertainment,2025-03-17T10:00:12Z,502100,16524,1032,2025-03-19 15:42:17.599765
Do6fD5tJmZQ,하드코어에서 모든 색깔 공장 만들기,프뚜,Gaming,2025-03-17T13:07:29Z,164026,3772,615,2025-03-19 15:42:17.599765
c7Ti_dIsFiw,백희 임시보호 시작합니다,나렝아치 NaRengAchi,Pets & Animals,2025-03-17T02:33:00Z,175666,11789,1209,2025-03-19 15:42:17.599765
5sulSfWKV4Q,더보이즈 (THE BOYZ) 'VVV' MV,ONE HUNDRED (원헌드레드),People & Blogs,2025-03-17T09:00:10Z,8357024,60409,4672,2025-03-19 15:42:17.599765
2jCb51fQInA,구독자 별명 짓기! 마루의 선택은?,나는 마루,Film & Animation,2025-03-18T09:00:03Z,125931,8303,1425,2025-03-19 15:42:17.599765
buSOckc4_H8,"12년동안 친한형, 국민 아빠 성동일의 교육 철학(아빠어디가,성동일맛집,송도주민) | 가장(멋진)류진",가장(멋진)류진 petiteRyujin,People & Blogs,2025-03-17T10:00:51Z,187294,4000,204,2025-03-19 15:42:17.599765
fJcDQZJjxC8,독침이 없어서 입으로 물어뜯는 초소형꿀벌 키우는 양봉장가서 꿀 채밀하기(feat.럭형님),프응TV Honeybeefather,People & Blogs,2025-03-17T14:04:41Z,224777,3937,277,2025-03-19 15:42:17.599765
eFku7m95X3s,딸이 살고 있는 한국 아파트에 입을 다물지 못하는 일본 장인어른..,네루짱NERU,People & Blogs,2025-03-16T01:00:35Z,1614517,33327,1525,2025-03-19 15:42:17.599765
IoJNtlly4ck,정은지 & 서인국 - 커플 (Couple) Live,정은지 EUNJI,Entertainment,2025-03-18T04:33:00Z,145178,13941,682,2025-03-19 15:42:17.599765
O1CmJ5dFH5g,(ENG)에일리와 최시훈의 NEW신혼집 최초 공개! | 집에서 사우나가 된다고?,내조왕 최시훈,People & Blogs,2025-03-17T08:57:51Z,424648,6481,393,2025-03-19 15:42:17.599765
8stsEbydsSk,[M/V] 송필근 - 숙녀에게 (feat. 나현영),TOON STUDIO,Music,2025-03-16T08:58:07Z,355131,6032,427,2025-03-19 15:42:17.599765
IbxI43fHWnk,🇨🇭찰승헌스위스🇨🇭여행 브이로그!!!,찰스엔터,People & Blogs,2025-03-14T09:00:21Z,1404990,37742,3572,2025-03-19 15:42:17.599765
Juc9F74_sJ8,NMIXX(엔믹스) “KNOW ABOUT ME” Performance Video,NMIXX,Entertainment,2025-03-18T09:00:09Z,663126,65009,2217,2025-03-19 15:42:17.599765
Z5bDxedvA6I,"토서방이라고요..? 일본남친의 긴장200% 한국 결혼식 사전(?)체험👰🤵ㅣK-대가족과 예비사위 신고식🔥, 한일 결혼 문화 차이, 첫 정장 맞추기👔",토모토모TomoTomo,People & Blogs,2025-03-17T14:06:20Z,560026,14077,1261,2025-03-19 15:42:17.599765
JJQyP9sLbT0,이래도되나? 싶은 미국 건 샵 후기,원지의하루,People & Blogs,2025-03-16T10:16:11Z,361297,9442,506,2025-03-19 15:42:17.599765
p6e8oVfC7Ec,"조훈현 VS 이창호 바둑계 전설, 세기의 대국을 맛 보라!┃승부, MBC 250316 방송",출발! 비디오여행 : MBC 공식 채널,Film & Animation,2025-03-17T05:00:42Z,98871,580,270,2025-03-19 15:42:17.599765
8xufY2fpyn8,WING (윙) - Dopamine | Show! MusicCore | MBC250315방송,MBCkpop,Music,2025-03-15T06:37:55Z,1170756,31567,4121,2025-03-19 15:42:17.599765
T6fFMgysK50,안녕하세요 Hebi 입니다.,Hebi.,Music,2025-03-17T08:00:11Z,269038,14607,3496,2025-03-19 15:42:17.599765
Rs9rKCWCle4,오버워치 2 X 르세라핌 | 게임플레이 트레일러,오버워치,Gaming,2025-03-18T03:45:01Z,90741,1863,694,2025-03-19 15:42:17.599765
tRY9krgBVLk,절친 박서진의 가왕 소식 들은 김희재의 미친 무대! #박서진 #김희재,목포MBC 가요센터,Music,2025-03-17T08:00:46Z,144756,2265,124,2025-03-19 15:42:17.599765
